county,precinct,office,district,candidate,votes,election_day,mi,pr
Perry,TOBOYNE TOWNSHIP 1ST,Auditor General,,Write-Ins,0,0,0,0
Perry,TOBOYNE TOWNSHIP 1ST,State Treasurer,,JOE TORSELLA,26,17,9,0
Perry,TOBOYNE TOWNSHIP 1ST,State Treasurer,,STACY L GARRITY,129,119,8,2
Perry,TOBOYNE TOWNSHIP 1ST,State Treasurer,,JOE SOLOSKI,6,6,0,0
Perry,TOBOYNE TOWNSHIP 1ST,State Treasurer,,TIMOTHY RUNKLE,2,1,1,0
Perry,TOBOYNE TOWNSHIP 1ST,State Treasurer,,Write-Ins,0,0,0,0
Perry,TOBOYNE TOWNSHIP 1ST,Congress,12,LEE GRIFFIN,28,19,9,0
Perry,TOBOYNE TOWNSHIP 1ST,Congress,12,FRED KELLER,138,127,9,2
Perry,TOBOYNE TOWNSHIP 1ST,Congress,12,Write-Ins,0,0,0,0
Perry,TOBOYNE TOWNSHIP 1ST,PA Senator,15,GEORGE SCOTT,30,20,10,0
Perry,TOBOYNE TOWNSHIP 1ST,PA Senator,15,JOHN DISANTO,135,125,8,2
Perry,TOBOYNE TOWNSHIP 1ST,PA Senator,15,Write-Ins,0,0,0,0
Perry,TOBOYNE TOWNSHIP 1ST,PA Rep,86,PERRY STAMBAUGH,143,127,14,2
Perry,TOBOYNE TOWNSHIP 1ST,PA Rep,86,Write-Ins,1,1,0,0
Perry,TOBOYNE TOWNSHIP 2ND,President,,BIDEN/HARRIS,4,3,1,0
Perry,TOBOYNE TOWNSHIP 2ND,President,,TRUMP/PENCE,48,42,6,0
Perry,TOBOYNE TOWNSHIP 2ND,President,,JORGENSEN/COHEN,0,0,0,0
Perry,TOBOYNE TOWNSHIP 2ND,President,,Write-Ins,0,0,0,0
Perry,TOBOYNE TOWNSHIP 2ND,Attorney General,,JOSH SHAPIRO,7,5,2,0
Perry,TOBOYNE TOWNSHIP 2ND,Attorney General,,HEATHER HEIDELBAUGH,42,38,4,0
Perry,TOBOYNE TOWNSHIP 2ND,Attorney General,,DANIEL WASSMER,0,0,0,0
Perry,TOBOYNE TOWNSHIP 2ND,Attorney General,,RICHARD L WEISS,0,0,0,0
Perry,TOBOYNE TOWNSHIP 2ND,Attorney General,,Write-Ins,0,0,0,0
Perry,TOBOYNE TOWNSHIP 2ND,Auditor General,,NINA AHMAD,5,4,1,0
Perry,TOBOYNE TOWNSHIP 2ND,Auditor General,,TIMOTHY DEFOOR,42,38,4,0
Perry,TOBOYNE TOWNSHIP 2ND,Auditor General,,JENNIFER MOORE,2,1,1,0
Perry,TOBOYNE TOWNSHIP 2ND,Auditor General,,OLIVIA FAISON,0,0,0,0
Perry,TOBOYNE TOWNSHIP 2ND,Auditor General,,Write-Ins,0,0,0,0
Perry,TOBOYNE TOWNSHIP 2ND,State Treasurer,,JOE TORSELLA,4,3,1,0
Perry,TOBOYNE TOWNSHIP 2ND,State Treasurer,,STACY L GARRITY,43,39,4,0
Perry,TOBOYNE TOWNSHIP 2ND,State Treasurer,,JOE SOLOSKI,0,0,0,0
Perry,TOBOYNE TOWNSHIP 2ND,State Treasurer,,TIMOTHY RUNKLE,1,0,1,0
Perry,TOBOYNE TOWNSHIP 2ND,State Treasurer,,Write-Ins,0,0,0,0
Perry,TOBOYNE TOWNSHIP 2ND,Congress,12,LEE GRIFFIN,4,3,1,0
Perry,TOBOYNE TOWNSHIP 2ND,Congress,12,FRED KELLER,45,40,5,0
Perry,TOBOYNE TOWNSHIP 2ND,Congress,12,Write-Ins,0,0,0,0
Perry,TOBOYNE TOWNSHIP 2ND,PA Senator,15,GEORGE SCOTT,7,5,2,0
Perry,TOBOYNE TOWNSHIP 2ND,PA Senator,15,JOHN DISANTO,42,38,4,0
Perry,TOBOYNE TOWNSHIP 2ND,PA Senator,15,Write-Ins,0,0,0,0
Perry,TOBOYNE TOWNSHIP 2ND,PA Rep,86,PERRY STAMBAUGH,44,40,4,0
Perry,TOBOYNE TOWNSHIP 2ND,PA Rep,86,Write-Ins,0,0,0,0
Perry,TUSCARORA TOWNSHIP,President,,BIDEN/HARRIS,128,49,77,2
Perry,TUSCARORA TOWNSHIP,President,,TRUMP/PENCE,545,445,84,16
Perry,TUSCARORA TOWNSHIP,President,,JORGENSEN/COHEN,18,16,2,0
Perry,TUSCARORA TOWNSHIP,President,,Write-Ins,3,0,3,0
Perry,TUSCARORA TOWNSHIP,Attorney General,,JOSH SHAPIRO,142,60,80,2
Perry,TUSCARORA TOWNSHIP,Attorney General,,HEATHER HEIDELBAUGH,530,428,86,16
Perry,TUSCARORA TOWNSHIP,Attorney General,,DANIEL WASSMER,11,11,0,0
Perry,TUSCARORA TOWNSHIP,Attorney General,,RICHARD L WEISS,3,2,1,0
Perry,TUSCARORA TOWNSHIP,Attorney General,,Write-Ins,0,0,0,0
Perry,TUSCARORA TOWNSHIP,Auditor General,,NINA AHMAD,120,42,76,2
Perry,TUSCARORA TOWNSHIP,Auditor General,,TIMOTHY DEFOOR,534,433,85,16
Perry,TUSCARORA TOWNSHIP,Auditor General,,JENNIFER MOORE,16,14,2,0
Perry,TUSCARORA TOWNSHIP,Auditor General,,OLIVIA FAISON,6,4,2,0
Perry,TUSCARORA TOWNSHIP,Auditor General,,Write-Ins,1,1,0,0
Perry,TUSCARORA TOWNSHIP,State Treasurer,,JOE TORSELLA,125,46,77,2
Perry,TUSCARORA TOWNSHIP,State Treasurer,,STACY L GARRITY,538,435,87,16
Perry,TUSCARORA TOWNSHIP,State Treasurer,,JOE SOLOSKI,13,11,2,0
Perry,TUSCARORA TOWNSHIP,State Treasurer,,TIMOTHY RUNKLE,6,5,1,0
Perry,TUSCARORA TOWNSHIP,State Treasurer,,Write-Ins,0,0,0,0
Perry,TUSCARORA TOWNSHIP,Congress,12,LEE GRIFFIN,111,41,68,2
Perry,TUSCARORA TOWNSHIP,Congress,12,FRED KELLER,572,458,98,16
Perry,TUSCARORA TOWNSHIP,Congress,12,Write-Ins,2,2,0,0
Perry,TUSCARORA TOWNSHIP,PA Senator,15,GEORGE SCOTT,136,53,81,2
Perry,TUSCARORA TOWNSHIP,PA Senator,15,JOHN DISANTO,551,448,87,16
Perry,TUSCARORA TOWNSHIP,PA Senator,15,Write-Ins,1,1,0,0
Perry,TUSCARORA TOWNSHIP,PA Rep,86,PERRY STAMBAUGH,613,476,120,17
Perry,TUSCARORA TOWNSHIP,PA Rep,86,Write-Ins,19,6,13,0
Perry,TYRONE TOWNSHIP,President,,BIDEN/HARRIS,187,88,96,3
Perry,TYRONE TOWNSHIP,President,,TRUMP/PENCE,693,624,68,1
Perry,TYRONE TOWNSHIP,President,,JORGENSEN/COHEN,18,13,5,0
Perry,TYRONE TOWNSHIP,President,,Write-Ins,4,1,3,0
Perry,TYRONE TOWNSHIP,Attorney General,,JOSH SHAPIRO,209,113,93,3
Perry,TYRONE TOWNSHIP,Attorney General,,HEATHER HEIDELBAUGH,656,589,66,1
Perry,TYRONE TOWNSHIP,Attorney General,,DANIEL WASSMER,19,14,5,0
Perry,TYRONE TOWNSHIP,Attorney General,,RICHARD L WEISS,3,1,2,0
Perry,TYRONE TOWNSHIP,Attorney General,,Write-Ins,0,0,0,0
Perry,TYRONE TOWNSHIP,Auditor General,,NINA AHMAD,165,73,90,2
Perry,TYRONE TOWNSHIP,Auditor General,,TIMOTHY DEFOOR,673,602,69,2
Perry,TYRONE TOWNSHIP,Auditor General,,JENNIFER MOORE,33,26,7,0
Perry,TYRONE TOWNSHIP,Auditor General,,OLIVIA FAISON,6,6,0,0
Perry,TYRONE TOWNSHIP,Auditor General,,Write-Ins,0,0,0,0
Perry,TYRONE TOWNSHIP,State Treasurer,,JOE TORSELLA,195,99,93,3
Perry,TYRONE TOWNSHIP,State Treasurer,,STACY L GARRITY,657,590,66,1
Perry,TYRONE TOWNSHIP,State Treasurer,,JOE SOLOSKI,21,17,4,0
Perry,TYRONE TOWNSHIP,State Treasurer,,TIMOTHY RUNKLE,11,6,5,0
Perry,TYRONE TOWNSHIP,State Treasurer,,Write-Ins,0,0,0,0
Perry,TYRONE TOWNSHIP,Congress,12,LEE GRIFFIN,172,80,90,2
Perry,TYRONE TOWNSHIP,Congress,12,FRED KELLER,710,630,78,2
Perry,TYRONE TOWNSHIP,Congress,12,Write-Ins,0,0,0,0
Perry,TYRONE TOWNSHIP,PA Senator,15,GEORGE SCOTT,195,105,87,3
Perry,TYRONE TOWNSHIP,PA Senator,15,JOHN DISANTO,689,609,79,1
Perry,TYRONE TOWNSHIP,PA Senator,15,Write-Ins,0,0,0,0
Perry,TYRONE TOWNSHIP,PA Rep,86,PERRY STAMBAUGH,811,674,135,2
Perry,TYRONE TOWNSHIP,PA Rep,86,Write-Ins,22,11,10,1
Perry,WATTS TOWNSHIP,President,,BIDEN/HARRIS,163,80,83,0
Perry,WATTS TOWNSHIP,President,,TRUMP/PENCE,585,527,56,2
Perry,WATTS TOWNSHIP,President,,JORGENSEN/COHEN,9,8,1,0
Perry,WATTS TOWNSHIP,President,,Write-Ins,3,3,0,0
Perry,WATTS TOWNSHIP,Attorney General,,JOSH SHAPIRO,171,89,82,0
Perry,WATTS TOWNSHIP,Attorney General,,HEATHER HEIDELBAUGH,564,509,53,2
Perry,WATTS TOWNSHIP,Attorney General,,DANIEL WASSMER,9,7,2,0
Perry,WATTS TOWNSHIP,Attorney General,,RICHARD L WEISS,6,4,2,0
Perry,WATTS TOWNSHIP,Attorney General,,Write-Ins,0,0,0,0
Perry,WATTS TOWNSHIP,Auditor General,,NINA AHMAD,137,71,66,0
Perry,WATTS TOWNSHIP,Auditor General,,TIMOTHY DEFOOR,580,519,59,2
Perry,WATTS TOWNSHIP,Auditor General,,JENNIFER MOORE,20,16,4,0
Perry,WATTS TOWNSHIP,Auditor General,,OLIVIA FAISON,10,3,7,0
Perry,WATTS TOWNSHIP,Auditor General,,Write-Ins,0,0,0,0
Perry,WATTS TOWNSHIP,State Treasurer,,JOE TORSELLA,151,77,74,0
Perry,WATTS TOWNSHIP,State Treasurer,,STACY L GARRITY,570,512,56,2
Perry,WATTS TOWNSHIP,State Treasurer,,JOE SOLOSKI,17,14,3,0
Perry,WATTS TOWNSHIP,State Treasurer,,TIMOTHY RUNKLE,9,6,3,0
Perry,WATTS TOWNSHIP,State Treasurer,,Write-Ins,0,0,0,0
Perry,WATTS TOWNSHIP,Congress,12,LEE GRIFFIN,144,75,69,0
Perry,WATTS TOWNSHIP,Congress,12,FRED KELLER,608,535,71,2
Perry,WATTS TOWNSHIP,Congress,12,Write-Ins,0,0,0,0
Perry,WATTS TOWNSHIP,PA Senator,15,GEORGE SCOTT,164,92,72,0
Perry,WATTS TOWNSHIP,PA Senator,15,JOHN DISANTO,589,520,67,2
Perry,WATTS TOWNSHIP,PA Senator,15,Write-Ins,0,0,0,0
Perry,WATTS TOWNSHIP,PA Rep,86,PERRY STAMBAUGH,661,561,98,2
Perry,WATTS TOWNSHIP,PA Rep,86,Write-Ins,15,8,7,0
Perry,WHEATFIELD TOWNSHIP,President,,BIDEN/HARRIS,387,125,261,1
Perry,WHEATFIELD TOWNSHIP,President,,TRUMP/PENCE,1484,1188,285,11
Perry,WHEATFIELD TOWNSHIP,President,,JORGENSEN/COHEN,21,14,7,0
Perry,WHEATFIELD TOWNSHIP,President,,Write-Ins,3,1,2,0
Perry,WHEATFIELD TOWNSHIP,Attorney General,,JOSH SHAPIRO,399,141,257,1
Perry,WHEATFIELD TOWNSHIP,Attorney General,,HEATHER HEIDELBAUGH,1433,1151,271,11
Perry,WHEATFIELD TOWNSHIP,Attorney General,,DANIEL WASSMER,35,21,14,0
Perry,WHEATFIELD TOWNSHIP,Attorney General,,RICHARD L WEISS,11,6,5,0
Perry,WHEATFIELD TOWNSHIP,Attorney General,,Write-Ins,1,1,0,0
Perry,WHEATFIELD TOWNSHIP,Auditor General,,NINA AHMAD,332,107,223,2
Perry,WHEATFIELD TOWNSHIP,Auditor General,,TIMOTHY DEFOOR,1473,1168,295,10
Perry,WHEATFIELD TOWNSHIP,Auditor General,,JENNIFER MOORE,53,37,16,0
Perry,WHEATFIELD TOWNSHIP,Auditor General,,OLIVIA FAISON,13,5,8,0
Perry,WHEATFIELD TOWNSHIP,Auditor General,,Write-Ins,1,0,1,0
Perry,WHEATFIELD TOWNSHIP,State Treasurer,,JOE TORSELLA,340,106,233,1
Perry,WHEATFIELD TOWNSHIP,State Treasurer,,STACY L GARRITY,1472,1177,285,10
Perry,WHEATFIELD TOWNSHIP,State Treasurer,,JOE SOLOSKI,41,25,15,1
Perry,WHEATFIELD TOWNSHIP,State Treasurer,,TIMOTHY RUNKLE,18,12,6,0
Perry,WHEATFIELD TOWNSHIP,State Treasurer,,Write-Ins,0,0,0,0
Perry,WHEATFIELD TOWNSHIP,Congress,12,LEE GRIFFIN,352,111,240,1
Perry,WHEATFIELD TOWNSHIP,Congress,12,FRED KELLER,1525,1208,306,11
Perry,WHEATFIELD TOWNSHIP,Congress,12,Write-Ins,1,1,0,0
Perry,WHEATFIELD TOWNSHIP,PA Senator,15,GEORGE SCOTT,395,144,250,1
Perry,WHEATFIELD TOWNSHIP,PA Senator,15,JOHN DISANTO,1479,1174,294,11
Perry,WHEATFIELD TOWNSHIP,PA Senator,15,Write-Ins,2,2,0,0
Perry,WHEATFIELD TOWNSHIP,PA Rep,86,PERRY STAMBAUGH,1654,1240,403,11
Perry,WHEATFIELD TOWNSHIP,PA Rep,86,Write-Ins,45,11,34,0
